$$Name$StepDefinitionGroup.Name,AssignedTo.Name,CustomFulfillmentScope,FlowDefinitionName,IntegrationDefinitionName.DeveloperName,IsSkipBranch,Name,OmniscriptName,ResumeOnRule.Name,Scope,StepDefinitionGroup.Name,StepType,TaskAllocationType,UsageType
Finish logistics plan;Logistics and Transportation,Lyudmil Zdravkov,,,,false,Finish logistics plan,,,Plan,Logistics and Transportation,ManualTask,,
Generator Assembly;Production and Assembly,,,,DFOApexMockService,false,Generator Assembly,,,Plan,Production and Assembly,Callout,,
Convert Order to Asset;Tenant Provisioning + Activation,,,RLM_Assetize_Order_DRO_Fulfillment,,false,Convert Order to Asset,,,Plan,Tenant Provisioning + Activation,Milestone,,
Validate Order Info;Order Processing,Lyudmil Zdravkov,,,,false,Validate Order Info,,,Plan,Order Processing,ManualTask,,
Stage New Tenant for Provisioning;Tenant Provisioning + Activation,,,,RLM_DFOTenantProvisioningCallout,false,Stage New Tenant for Provisioning,,,Plan,Tenant Provisioning + Activation,Callout,,
Initiate Billing;Finance,Lyudmil Zdravkov,,,,false,Initiate Billing,,,Plan,Finance,Milestone,,
Post Invoice;Finance,Lyudmil Zdravkov,,,,false,Post Invoice,,,Plan,Finance,ManualTask,,
Receive Payment;Finance,Lyudmil Zdravkov,,,,false,Receive Payment,,,Plan,Finance,ManualTask,,
IoT Health Check;Equipment Health Check,,,,DFOApexMockService,false,IoT Health Check,,,Plan,Equipment Health Check,Callout,,
Convert Order to Asset;Asset Conversion,,,RLM_Assetize_Order_DRO_Fulfillment,,false,Convert Order to Asset,,,Plan,Asset Conversion,AutoTask,,
Stage New Tenant for Provisioning;Tenant Provisioning,,,,RLM_DFOTenantProvisioningCallout,false,Stage New Tenant for Provisioning,,,Plan,Tenant Provisioning,Callout,,
Create Work Order;Work Order,,,RLM_Create_Work_Order_DRO,,false,Create Work Order,,,Plan,Work Order,AutoTask,,
Review IoT Report;Equipment Health Check,Lyudmil Zdravkov,,,,false,Review IoT Report,,,Plan,Equipment Health Check,ManualTask,,
Create Service Contract;Service Contract & Assetization,Lyudmil Zdravkov,,RLM_Order_to_Svc_Contract_DRO_Task,,false,Create Service Contract,,,Plan,Service Contract & Assetization,ManualTask,,
IoT Health Check;Equipment Health Check,,,,DFOApexMockService,false,IoT Health Check,,,Plan,Equipment Health Check,Callout,,
Create Work Order;Work Order,,,RLM_Create_Work_Order_DRO,,false,Create Work Order,,,Plan,Work Order,AutoTask,,
Work Order Completed;Work Order,Lyudmil Zdravkov,,,,false,Work Order Completed,,,Plan,Work Order,ManualTask,,
Engineering Verification;Order Configuration Verification,,,,DFOApexMockService,false,Engineering Verification,,,Plan,Order Configuration Verification,Callout,,
Source specialized components;Production and Assembly,,,,DFOApexMockService,false,Source specialized components,,,Plan,Production and Assembly,Callout,,
Customer BOM sign-off;Order Configuration Verification,,,,,false,Customer BOM sign-off,,,Plan,Order Configuration Verification,Pause,,
Install and Commission;On-Site Installation and Commissioning,,,,DFOApexMockService,false,Install and Commission,,,Plan,On-Site Installation and Commissioning,Callout,,
Confirm Delivery;Logistics and Transportation,Lyudmil Zdravkov,,,,false,Confirm Delivery,,,Plan,Logistics and Transportation,ManualTask,,
Consolidated Fulfillment;Inventory Allocation & Sourcing,Lyudmil Zdravkov,,,,false,Consolidated Fulfillment,,,Plan,Inventory Allocation & Sourcing,ManualTask,,
Shipment;Shipment & Invoicing,,,,DFOApexMockService,false,Shipment,,,Plan,Shipment & Invoicing,Callout,,
Inventory Allocation;Inventory Allocation & Sourcing,,,,DFOApexMockService,false,Inventory Allocation,,,Plan,Inventory Allocation & Sourcing,Callout,,
Generate Invoice;Shipment & Invoicing,,,,DFOApexMockService,false,Generate Invoice,,,Plan,Shipment & Invoicing,Callout,,
